,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Federal,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
Alabama,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Alaska,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75
Arizona,-1,-1,-1,-1,-1,-1,-1,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9
Arkansas,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
California,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,9
Colorado,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8
Connecticut,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7
Delaware,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75
Florida,-1,-1,-1,-1,-1,-1,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93
Georgia,3.25,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Hawaii,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Idaho,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
Illinois,5.15,5.15,5.15,5.15,5.5,6.5,6.5,6.5,7.5,7.75,8,8.25,8.25,8.25,8.25
Indiana,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
Iowa,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25
Kentucky,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25
Louisiana,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Maine,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5
Maryland,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25
Massachusetts,6,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,8
Michigan,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15
Minnesota,4.9,4.9,4.9,4.9,4.9,4.9,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,6.5
Mississippi,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Missouri,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5
