Table 62. Region of residence: Shares of annual aggregate expenditures and sources of income, Consumer                                                                                                  
Expenditure Survey, 2002                                                                                                                                                                                
                                                                                                                                                                                                        
  (Aggregates in millions of dollars, unless otherwise indicated)                                                                                                                                       
                                                                                                                                                                                                        
                                                                                                                                                                                                        
                    Item                        Aggregate    Northeast     Midwest       South        West                                                                                              
                                                                                                              
                                                                                         
Number of consumer units (in thousands)......     112,108       21,313       25,883       40,004       24,907                                                                                           
Percent distribution of consumer units.......       100.0         19.0         23.1         35.7         22.2                                                                                           
Income before taxes a/ ......................     $49,430      $53,983      $49,197      $45,641      $52,016                                                                                           
Income after taxes a/ .......................      46,934       51,578       46,370       43,617       49,008                                                                                           
Age of the reference person..................        48.1         49.1         48.4         48.1         46.8                                                                                           
Average number in consumer unit:                                                                                                                                                                        
 Persons.....................................         2.5          2.5          2.5          2.5          2.6                                                                                           
 Children under 18...........................          .7           .6           .7           .6           .7                                                                                           
 Persons 65 and over.........................          .3           .3           .3           .3           .3                                                                                           
 Earners.....................................         1.4          1.3          1.4          1.3          1.4                                                                                           
 Vehicles....................................         2.0          1.7          2.2          1.9          2.1                                                                                           
Percent distribution:                                                                                                                                                                                   
 Male........................................          51           51           51           50           53                                                                                           
 Female......................................          49           49           49           50           47                                                                                           
 Homeowner...................................          66           64           70           68           62                                                                                           
  With mortgage..............................          41           38           41           40           43                                                                                           
  Without mortgage...........................          26           26           29           28           19                                                                                           
 Renter......................................          34           36           30           32           38                                                                                           
 Black.......................................          12           10           10           19            4                                                                                           
 White and other.............................          88           90           90           81           96                                                                                           
 Elementary (1-8)............................           6            6            4            7            6                                                                                           
 High school (9-12)..........................          38           39           42           39           30                                                                                           
 College.....................................          56           55           54           53           64                                                                                           
 Never attended and other....................          b/           b/           b/           b/            1                                                                                           
 At least one vehicle owned or leased........          88           80           90           89           90                                                                                           
Annual aggregate expenditures................  $4,556,099         19.9         23.0         32.6         24.4                                                                                           
  Food.......................................     600,221         21.0         22.1         33.6         23.3                                                                                           
    Food at home.............................     345,917         20.7         21.7         33.8         23.8                                                                                           
      Cereals and bakery products............      50,249         21.5         22.2         33.1         23.2                                                                                           
        Cereals and cereal products..........      17,200         21.2         21.7         33.2         23.9                                                                                           
        Bakery products......................      33,050         21.7         22.5         33.0         22.8                                                                                           
      Meats, poultry, fish, and eggs.........      89,131         21.4         20.3         35.8         22.4                                                                                           
        Beef.................................      25,806         19.5         20.7         37.0         22.7                                                                                           
        Pork.................................      18,680         19.1         21.5         38.5         20.9                                                                                           
        Other meats..........................      11,284         23.1         22.7         33.5         20.7                                                                                           
        Poultry..............................      16,089         22.7         19.9         34.3         23.1                                                                                           
        Fish and seafood.....................      13,504         25.4         17.2         34.2         23.1                                                                                           
        Eggs.................................       3,767         20.4         17.5         34.1         28.0                                                                                           
      Dairy products.........................      36,654         20.6         22.4         32.3         24.7                                                                                           
        Fresh milk and cream.................      14,194         19.5         23.2         33.1         24.1                                                                                           
        Other dairy products.................      22,460         21.3         21.9         31.8         25.0                                                                                           
      Fruits and vegetables..................      61,623         21.3         20.4         32.7         25.6                                                                                           
        Fresh fruits.........................      19,893         21.6         20.3         32.0         26.2                                                                                           
