ST,ID_AGIS2,AREANAME,FMR0BR,FMR1BR,FMR2BR,FMR3BR,FMR4BR
AK,MSA0380,"Anchorage, AK MSA",519.00000,613.00000,812.00000,1130.00000,1334.00000
AK,CNTY02013,ALEUTIANS EAST,538.00000,606.00000,685.00000,854.00000,1118.00000
AK,CNTY02016,ALEUTIANS WEST,461.00000,522.00000,584.00000,733.00000,821.00000
AK,CNTY02050,BETHEL,695.00000,869.00000,1101.00000,1379.00000,1543.00000
AK,CNTY02060,BRISTOL BAY,558.00000,644.00000,723.00000,1006.00000,1094.00000
AK,CNTY02070,DILLINGHAM,671.00000,683.00000,908.00000,1136.00000,1272.00000
AK,CNTY02090,FAIRBANKS-NORTH STAR,423.00000,576.00000,756.00000,1040.00000,1226.00000
AK,CNTY02100,HAINES BOROUGH,501.00000,620.00000,706.00000,960.00000,989.00000
AK,CNTY02110,JUNEAU,748.00000,864.00000,1100.00000,1464.00000,1521.00000
AK,CNTY02122,KENAI PENINSULA,455.00000,580.00000,699.00000,971.00000,1147.00000
AK,CNTY02130,KETCHIKAN-GATEWAY,549.00000,672.00000,900.00000,1253.00000,1318.00000
AK,CNTY02150,KODIAK ISLAND,715.00000,786.00000,1022.00000,1277.00000,1656.00000
AK,CNTY02164,LAKE & PENINSULA,429.00000,696.00000,782.00000,976.00000,1096.00000
AK,CNTY02170,MATANUSKA-SUSITNA,481.00000,651.00000,732.00000,994.00000,1175.00000
AK,CNTY02180,NOME,707.00000,875.00000,983.00000,1368.00000,1544.00000
AK,CNTY02185,NORTH SLOPE,804.00000,823.00000,1018.00000,1414.00000,1648.00000
AK,CNTY02188,NW ARCTIC,851.00000,957.00000,1074.00000,1495.00000,1764.00000
AK,CNTY02201,PRINCE OF WALES-OUTER KETCHIKAN,375.00000,597.00000,687.00000,952.00000,1007.00000
AK,CNTY02220,SITKA BORO,591.00000,703.00000,788.00000,1098.00000,1296.00000
AK,CNTY02231,SKAGWAY-YAKUTAT-ANGOON,459.00000,467.00000,605.00000,758.00000,851.00000
AK,CNTY02240,SOUTHEAST FAIRBANKS,471.00000,495.00000,597.00000,747.00000,838.00000
AK,CNTY02261,VALDEZ-CORDOVA,562.00000,689.00000,765.00000,976.00000,1163.00000
AK,CNTY02270,WADE HAMPTON,402.00000,605.00000,683.00000,853.00000,955.00000
AK,CNTY02280,WRANGELL-PETERSBURG,409.00000,603.00000,733.00000,934.00000,1026.00000
AK,CNTY02290,YUKON-KOYUKUK,536.00000,604.00000,682.00000,852.00000,986.00000
