msa,State,County,FMR0,FMR1,FMR2,FMR3,FMR4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
450,1,15,278,329,412,574,650,AL,Calhoun,116034,40,"Anniston, AL",ALABAMA,450
580,1,81,277,387,497,646,817,AL,Lee,87146,40,"Aurburn-Opelika, Al",ALABAMA,580
1000,1,9,424,479,557,756,837,AL,Blount,39248,40,"Birmingham, AL",ALABAMA,1000
1000,1,73,424,479,557,756,837,AL,Jefferson,651525,40,"Birmingham, AL",ALABAMA,1000
1000,1,115,424,479,557,756,837,AL,St. Clair,50009,40,"Birmingham, AL",ALABAMA,1000
1000,1,117,424,479,557,756,837,AL,Shelby,99358,40,"Birmingham, AL",ALABAMA,1000
1800,1,113,376,418,501,654,710,AL,Russell,46860,40,"Columbus, GA-AL",ALABAMA,1800
2030,1,79,369,373,469,609,728,AL,Lawrence,31513,40,"Decatur, AL",ALABAMA,2030
2030,1,103,369,373,469,609,728,AL,Morgan,100043,40,"Decatur, AL",ALABAMA,2030
2180,1,45,334,342,425,584,593,AL,Dale,49633,40,"Dothan, AL",ALABAMA,2180
2180,1,69,334,342,425,584,593,AL,Houston,81331,40,"Dothan, AL",ALABAMA,2180
2650,1,33,314,360,462,577,647,AL,Colbert,51666,40,"Florence, AL",ALABAMA,2650
2650,1,77,314,360,462,577,647,AL,Lauderdale,79661,40,"Florence, AL",ALABAMA,2650
2880,1,55,278,340,392,509,627,AL,Etowah,99840,40,"Gadsden, AL",ALABAMA,2880
3440,1,83,387,454,559,745,887,AL,Limestone,54135,40,"Huntsville, AL",ALABAMA,3440
3440,1,89,387,454,559,745,887,AL,Madison,238912,40,"Huntsville, AL",ALABAMA,3440
5160,1,3,406,454,521,701,822,AL,Baldwin,98280,40,"Mobile, AL",ALABAMA,5160
5160,1,97,406,454,521,701,822,AL,Mobile,378643,40,"Mobile, AL",ALABAMA,5160
5240,1,1,424,453,535,729,878,AL,Autauga,34222,40,"Montgomery, AL",ALABAMA,5240
5240,1,51,424,453,535,729,878,AL,Elmore,49210,40,"Montgomery, AL",ALABAMA,5240
5240,1,101,424,453,535,729,878,AL,Montgomery,209085,40,"Montgomery, AL",ALABAMA,5240
8600,1,125,366,391,521,715,756,AL,Tuscaloosa,150522,40,"Tuscaloosa, AL",ALABAMA,8600
