fips,fmr0,fmr1,fmr2,fmr3,fmr4,Metro_code,areaname,State,county,CouSub,county_town_name,pop2000,countyname,state_alpha,fmr_type,metro
0100199999,468,553,623,826,1091,METRO33860M33860,"Montgomery, AL MSA",1,1,99999,Autauga County,43671,Autauga County,AL,40,1
0100399999,450,542,644,854,978,NCNTY01003N01003,"Baldwin County, AL",1,3,99999,Baldwin County,140415,Baldwin County,AL,40,0
0100599999,378,379,455,563,580,NCNTY01005N01005,"Barbour County, AL",1,5,99999,Barbour County,29038,Barbour County,AL,40,0
0100799999,487,542,604,766,789,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1,7,99999,Bibb County,20826,Bibb County,AL,40,1
0100999999,487,542,604,766,789,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1,9,99999,Blount County,51024,Blount County,AL,40,1
0101199999,335,379,465,557,600,NCNTY01011N01011,"Bullock County, AL",1,11,99999,Bullock County,11714,Bullock County,AL,40,0
0101399999,335,379,465,557,600,NCNTY01013N01013,"Butler County, AL",1,13,99999,Butler County,21399,Butler County,AL,40,0
0101599999,359,397,493,651,766,METRO11500M11500,"Anniston-Oxford, AL MSA",1,15,99999,Calhoun County,112249,Calhoun County,AL,40,1
0101799999,376,408,453,615,634,NCNTY01017N01017,"Chambers County, AL",1,17,99999,Chambers County,36583,Chambers County,AL,40,0
0101999999,395,396,476,567,585,NCNTY01019N01019,"Cherokee County, AL",1,19,99999,Cherokee County,23988,Cherokee County,AL,40,0
0102199999,310,429,477,599,686,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",1,21,99999,Chilton County,39593,Chilton County,AL,40,1
0102399999,376,396,453,574,767,NCNTY01023N01023,"Choctaw County, AL",1,23,99999,Choctaw County,15922,Choctaw County,AL,40,0
0102599999,294,407,453,542,796,NCNTY01025N01025,"Clarke County, AL",1,25,99999,Clarke County,27867,Clarke County,AL,40,0
0102799999,377,378,453,560,697,NCNTY01027N01027,"Clay County, AL",1,27,99999,Clay County,14254,Clay County,AL,40,0
0102999999,380,381,457,560,697,NCNTY01029N01029,"Cleburne County, AL",1,29,99999,Cleburne County,14123,Cleburne County,AL,40,0
0103199999,362,413,468,640,821,NCNTY01031N01031,"Coffee County, AL",1,31,99999,Coffee County,43615,Coffee County,AL,40,0
0103399999,415,417,506,645,800,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",1,33,99999,Colbert County,54984,Colbert County,AL,40,1
0103599999,376,396,453,574,767,NCNTY01035N01035,"Conecuh County, AL",1,35,99999,Conecuh County,14089,Conecuh County,AL,40,0
0103799999,368,407,453,614,689,NCNTY01037N01037,"Coosa County, AL",1,37,99999,Coosa County,12202,Coosa County,AL,40,0
0103999999,377,378,453,618,637,NCNTY01039N01039,"Covington County, AL",1,39,99999,Covington County,37631,Covington County,AL,40,0
0104199999,335,379,465,557,600,NCNTY01041N01041,"Crenshaw County, AL",1,41,99999,Crenshaw County,13665,Crenshaw County,AL,40,0
0104399999,394,406,475,639,657,NCNTY01043N01043,"Cullman County, AL",1,43,99999,Cullman County,77483,Cullman County,AL,40,0
0104599999,350,404,453,654,793,NCNTY01045N01045,"Dale County, AL",1,45,99999,Dale County,49129,Dale County,AL,40,0
0104799999,301,418,464,585,628,NCNTY01047N01047,"Dallas County, AL",1,47,99999,Dallas County,46365,Dallas County,AL,40,0
0104999999,338,359,453,602,620,NCNTY01049N01049,"DeKalb County, AL",1,49,99999,DeKalb County,64452,DeKalb County,AL,40,0
0105199999,468,553,623,826,1091,METRO33860M33860,"Montgomery, AL MSA",1,51,99999,Elmore County,65874,Elmore County,AL,40,1
0105399999,376,381,453,565,694,NCNTY01053N01053,"Escambia County, AL",1,53,99999,Escambia County,38440,Escambia County,AL,40,0
0105599999,328,415,504,646,667,METRO23460M23460,"Gadsden, AL MSA",1,55,99999,Etowah County,103459,Etowah County,AL,40,1
0105799999,297,344,453,660,797,NCNTY01057N01057,"Fayette County, AL",1,57,99999,Fayette County,18495,Fayette County,AL,40,0
0105999999,295,382,453,611,795,NCNTY01059N01059,"Franklin County, AL",1,59,99999,Franklin County,31223,Franklin County,AL,40,0
0106199999,350,412,467,597,682,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",1,61,99999,Geneva County,25764,Geneva County,AL,40,1
0106399999,407,471,610,784,808,METRO46220M46220,"Tuscaloosa, AL MSA",1,63,99999,Greene County,9974,Greene County,AL,40,1
0106599999,407,471,610,784,808,METRO46220M46220,"Tuscaloosa, AL MSA",1,65,99999,Hale County,17185,Hale County,AL,40,1
0106799999,296,408,453,541,558,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",1,67,99999,Henry County,16310,Henry County,AL,40,1
0106999999,350,412,467,597,682,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",1,69,99999,Houston County,88787,Houston County,AL,40,1
0107199999,376,408,453,577,795,NCNTY01071N01071,"Jackson County, AL",1,71,99999,Jackson County,53926,Jackson County,AL,40,0
0107399999,487,542,604,766,789,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1,73,99999,Jefferson County,662047,Jefferson County,AL,40,1
0107599999,304,376,453,605,794,NCNTY01075N01075,"Lamar County, AL",1,75,99999,Lamar County,15904,Lamar County,AL,40,0
0107799999,415,417,506,645,800,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",1,77,99999,Lauderdale County,87966,Lauderdale County,AL,40,1
0107999999,393,441,508,664,689,METRO19460M19460,"Decatur, AL MSA",1,79,99999,Lawrence County,34803,Lawrence County,AL,40,1
0108199999,355,424,546,719,738,METRO12220M12220,"Auburn-Opelika, AL MSA",1,81,99999,Lee County,115092,Lee County,AL,40,1
0108399999,436,474,560,767,842,METRO26620M26620,"Huntsville, AL MSA",1,83,99999,Limestone County,65676,Limestone County,AL,40,1
