FIPS,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,ACS_2009_smrev_2,state_alpha,fmr_type,metro,FMR_PCT_Change,FMR_Dollar_Change
0100199999,552,653,735,975,1287,1,1,99999,43671,Autauga County,METRO33860M33860,"Montgomery, AL MSA",Autauga County,706,AL,40,1,1.0410764873,29
0100399999,534,643,764,1013,1160,3,1,99999,140415,Baldwin County,NCNTY01003N01003,"Baldwin County, AL",Baldwin County,733,AL,40,0,1.0422919509,31
0100599999,448,449,539,667,687,5,1,99999,29038,Barbour County,NCNTY01005N01005,"Barbour County, AL",Barbour County,518,AL,40,0,1.0405405405,21
0100799999,593,659,735,933,960,7,1,99999,20826,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,698,AL,40,1,1.053008596,37
0100999999,593,659,735,933,960,9,1,99999,51024,Blount County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,698,AL,40,1,1.053008596,37
0101199999,397,449,550,659,710,11,1,99999,11714,Bullock County,NCNTY01011N01011,"Bullock County, AL",Bullock County,528,AL,40,0,1.0416666667,22
0101399999,397,449,550,659,710,13,1,99999,21399,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,528,AL,40,0,1.0416666667,22
0101599999,426,471,585,773,909,15,1,99999,112249,Calhoun County,METRO11500M11500,"Anniston-Oxford, AL MSA",Calhoun County,562,AL,40,1,1.0409252669,23
0101799999,445,483,536,727,750,17,1,99999,36583,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,514,AL,40,0,1.0428015564,22
0101999999,464,465,560,667,688,19,1,99999,23988,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,538,AL,40,0,1.0408921933,22
0102199999,398,550,612,769,881,21,1,99999,39593,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,580,AL,40,1,1.0551724138,32
0102399999,444,469,536,680,908,23,1,99999,15922,Choctaw County,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,514,AL,40,0,1.0428015564,22
0102599999,348,481,536,642,942,25,1,99999,27867,Clarke County,NCNTY01025N01025,"Clarke County, AL",Clarke County,514,AL,40,0,1.0428015564,22
0102799999,446,448,536,662,825,27,1,99999,14254,Clay County,NCNTY01027N01027,"Clay County, AL",Clay County,514,AL,40,0,1.0428015564,22
0102999999,450,452,542,664,827,29,1,99999,14123,Cleburne County,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,520,AL,40,0,1.0423076923,22
0103199999,427,487,552,755,969,31,1,99999,43615,Coffee County,NCNTY01031N01031,"Coffee County, AL",Coffee County,530,AL,40,0,1.041509434,22
0103399999,490,493,598,762,945,33,1,99999,54984,Colbert County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,574,AL,40,1,1.0418118467,24
0103599999,444,469,536,680,908,35,1,99999,14089,Conecuh County,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,514,AL,40,0,1.0428015564,22
0103799999,435,481,536,726,815,37,1,99999,12202,Coosa County,NCNTY01037N01037,"Coosa County, AL",Coosa County,514,AL,40,0,1.0428015564,22
0103999999,446,447,536,731,754,39,1,99999,37631,Covington County,NCNTY01039N01039,"Covington County, AL",Covington County,514,AL,40,0,1.0428015564,22
