FIPS,fmr0,fmr1,fmr2,fmr3,fmr4,county,State,CouSub,pop2000,countyname,Metro_code,Areaname,county_town_name,state_alpha,fmr_type,metro
0100199999,543,642,723,959,1266,1,1,99999,43671,Autauga County,METRO33860M33860,"Montgomery, AL MSA",Autauga County,AL,40,1
0100399999,483,581,691,916,1049,3,1,99999,140415,Baldwin County,NCNTY01003N01003,"Baldwin County, AL",Baldwin County,AL,40,0
0100599999,415,416,499,618,636,5,1,99999,29038,Barbour County,NCNTY01005N01005,"Barbour County, AL",Barbour County,AL,40,0
0100799999,605,673,750,952,980,7,1,99999,20826,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,AL,40,1
0100999999,605,673,750,952,980,9,1,99999,51024,Blount County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,AL,40,1
0101199999,360,407,499,598,644,11,1,99999,11714,Bullock County,NCNTY01011N01011,"Bullock County, AL",Bullock County,AL,40,0
0101399999,360,407,499,598,644,13,1,99999,21399,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,AL,40,0
0101599999,461,509,632,835,981,15,1,99999,112249,Calhoun County,METRO11500M11500,"Anniston-Oxford, AL MSA",Calhoun County,AL,40,1
0101799999,432,469,521,707,729,17,1,99999,36583,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,AL,40,0
0101999999,414,415,499,594,613,19,1,99999,23988,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,AL,40,0
0102199999,360,498,554,696,797,21,1,99999,39593,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,AL,40,1
0102399999,531,560,640,812,1084,23,1,99999,15922,Choctaw County,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,AL,40,0
0102599999,324,448,499,597,877,25,1,99999,27867,Clarke County,NCNTY01025N01025,"Clarke County, AL",Clarke County,AL,40,0
0102799999,415,417,499,617,768,27,1,99999,14254,Clay County,NCNTY01027N01027,"Clay County, AL",Clay County,AL,40,0
0102999999,416,418,501,614,764,29,1,99999,14123,Cleburne County,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,AL,40,0
0103199999,405,463,524,717,920,31,1,99999,43615,Coffee County,NCNTY01031N01031,"Coffee County, AL",Coffee County,AL,40,0
0103399999,481,484,587,748,928,33,1,99999,54984,Colbert County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,AL,40,1
0103599999,486,513,586,743,993,35,1,99999,14089,Conecuh County,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,AL,40,0
0103799999,425,471,524,710,797,37,1,99999,12202,Coosa County,NCNTY01037N01037,"Coosa County, AL",Coosa County,AL,40,0
0103999999,415,416,499,681,702,39,1,99999,37631,Covington County,NCNTY01039N01039,"Covington County, AL",Covington County,AL,40,0
0104199999,374,424,519,622,670,41,1,99999,13665,Crenshaw County,NCNTY01041N01041,"Crenshaw County, AL",Crenshaw County,AL,40,0
0104399999,425,438,513,690,709,43,1,99999,77483,Cullman County,NCNTY01043N01043,"Cullman County, AL",Cullman County,AL,40,0
0104599999,386,445,499,721,874,45,1,99999,49129,Dale County,NCNTY01045N01045,"Dale County, AL",Dale County,AL,40,0
0104799999,331,460,510,643,690,47,1,99999,46365,Dallas County,NCNTY01047N01047,"Dallas County, AL",Dallas County,AL,40,0
0104999999,372,396,499,664,683,49,1,99999,64452,DeKalb County,NCNTY01049N01049,"DeKalb County, AL",DeKalb County,AL,40,0
0105199999,543,642,723,959,1266,51,1,99999,65874,Elmore County,METRO33860M33860,"Montgomery, AL MSA",Elmore County,AL,40,1
0105399999,414,420,499,622,765,53,1,99999,38440,Escambia County,NCNTY01053N01053,"Escambia County, AL",Escambia County,AL,40,0
0105599999,398,504,612,784,810,55,1,99999,103459,Etowah County,METRO23460M23460,"Gadsden, AL MSA",Etowah County,AL,40,1
0105799999,327,379,499,728,878,57,1,99999,18495,Fayette County,NCNTY01057N01057,"Fayette County, AL",Fayette County,AL,40,0
0105999999,325,421,499,673,876,59,1,99999,31223,Franklin County,NCNTY01059N01059,"Franklin County, AL",Franklin County,AL,40,0
0106199999,434,510,578,739,844,61,1,99999,25764,Geneva County,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",Geneva County,AL,40,1
0106399999,504,582,754,969,999,63,1,99999,9974,Greene County,METRO46220M46220,"Tuscaloosa, AL MSA",Greene County,AL,40,1
0106599999,504,582,754,969,999,65,1,99999,17185,Hale County,METRO46220M46220,"Tuscaloosa, AL MSA",Hale County,AL,40,1
0106799999,326,449,499,596,615,67,1,99999,16310,Henry County,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",Henry County,AL,40,1
0106999999,434,510,578,739,844,69,1,99999,88787,Houston County,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",Houston County,AL,40,1
0107199999,415,449,499,636,876,71,1,99999,53926,Jackson County,NCNTY01071N01071,"Jackson County, AL",Jackson County,AL,40,0
0107399999,605,673,750,952,980,73,1,99999,662047,Jefferson County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,AL,40,1
0107599999,334,415,499,666,875,75,1,99999,15904,Lamar County,NCNTY01075N01075,"Lamar County, AL",Lamar County,AL,40,0
0107799999,481,484,587,748,928,77,1,99999,87966,Lauderdale County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Lauderdale County,AL,40,1
