id	year	state	food_cost	insurance_cost	healthcare_cost	housing_cost	transportation_cost	other_cost	state_tax_rate	pop	fica_tax_rate	federal_income_tax_rate	rate
1001	2014	AL	3035.97176684	1368.0	2528.38639087	7164	3965.86916832	2195.29056463	0.0004	54571.0	0.0765	0.0534	22897.0724718
1003	2014	AL	3035.97176684	1368.0	2528.38639087	8376	3965.86916832	2195.29056463	0.0004	182265.0	0.0765	0.0534	24266.9960718
1005	2014	AL	3035.97176684	1368.0	2528.38639087	5172	3965.86916832	2195.29056463	0.0004	27457.0	0.0765	0.0534	20645.5148718
1007	2014	AL	3035.97176684	1368.0	2528.38639087	7524	3965.86916832	2195.29056463	0.0004	22915.0	0.0765	0.0534	23303.9804718
1009	2014	AL	3035.97176684	1368.0	2528.38639087	7524	3965.86916832	2195.29056463	0.0004	57322.0	0.0765	0.0534	23303.9804718
1011	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	10914.0	0.0765	0.0534	21269.4404718
1013	2014	AL	3035.97176684	1368.0	2528.38639087	5172	3965.86916832	2195.29056463	0.0004	20947.0	0.0765	0.0534	20645.5148718
1015	2014	AL	3035.97176684	1368.0	2528.38639087	6192	3965.86916832	2195.29056463	0.0004	118572.0	0.0765	0.0534	21798.4208718
1017	2014	AL	3035.97176684	1368.0	2528.38639087	5460	3965.86916832	2195.29056463	0.0004	34215.0	0.0765	0.0534	20971.0412718
1019	2014	AL	3035.97176684	1368.0	2528.38639087	5664	3965.86916832	2195.29056463	0.0004	25989.0	0.0765	0.0534	21201.6224718
1021	2014	AL	3035.97176684	1368.0	2528.38639087	5388	3965.86916832	2195.29056463	0.0004	43643.0	0.0765	0.0534	20889.6596718
1023	2014	AL	3035.97176684	1368.0	2528.38639087	6132	3965.86916832	2195.29056463	0.0004	13859.0	0.0765	0.0534	21730.6028718
1025	2014	AL	3035.97176684	1368.0	2528.38639087	5256	3965.86916832	2195.29056463	0.0004	25833.0	0.0765	0.0534	20740.4600718
1027	2014	AL	3035.97176684	1368.0	2528.38639087	5088	3965.86916832	2195.29056463	0.0004	13932.0	0.0765	0.0534	20550.5696718
1029	2014	AL	3035.97176684	1368.0	2528.38639087	5292	3965.86916832	2195.29056463	0.0004	14972.0	0.0765	0.0534	20781.1508718
1031	2014	AL	3035.97176684	1368.0	2528.38639087	5592	3965.86916832	2195.29056463	0.0004	49948.0	0.0765	0.0534	21120.2408718
1033	2014	AL	3035.97176684	1368.0	2528.38639087	5976	3965.86916832	2195.29056463	0.0004	54428.0	0.0765	0.0534	21554.2760718
1035	2014	AL	3035.97176684	1368.0	2528.38639087	5232	3965.86916832	2195.29056463	0.0004	13228.0	0.0765	0.0534	20713.3328718
1037	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	11539.0	0.0765	0.0534	21269.4404718
1039	2014	AL	3035.97176684	1368.0	2528.38639087	5244	3965.86916832	2195.29056463	0.0004	37765.0	0.0765	0.0534	20726.8964718
1041	2014	AL	3035.97176684	1368.0	2528.38639087	5100	3965.86916832	2195.29056463	0.0004	13906.0	0.0765	0.0534	20564.1332718
1043	2014	AL	3035.97176684	1368.0	2528.38639087	5664	3965.86916832	2195.29056463	0.0004	80406.0	0.0765	0.0534	21201.6224718
1045	2014	AL	3035.97176684	1368.0	2528.38639087	5316	3965.86916832	2195.29056463	0.0004	50251.0	0.0765	0.0534	20808.2780718
1047	2014	AL	3035.97176684	1368.0	2528.38639087	5016	3965.86916832	2195.29056463	0.0004	43820.0	0.0765	0.0534	20469.1880718
1049	2014	AL	3035.97176684	1368.0	2528.38639087	5460	3965.86916832	2195.29056463	0.0004	71109.0	0.0765	0.0534	20971.0412718
1051	2014	AL	3035.97176684	1368.0	2528.38639087	7164	3965.86916832	2195.29056463	0.0004	79303.0	0.0765	0.0534	22897.0724718
1053	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	38319.0	0.0765	0.0534	21269.4404718
1055	2014	AL	3035.97176684	1368.0	2528.38639087	5496	3965.86916832	2195.29056463	0.0004	104430.0	0.0765	0.0534	21011.7320718
1057	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	17241.0	0.0765	0.0534	21269.4404718
1059	2014	AL	3035.97176684	1368.0	2528.38639087	5088	3965.86916832	2195.29056463	0.0004	31704.0	0.0765	0.0534	20550.5696718
1061	2014	AL	3035.97176684	1368.0	2528.38639087	5280	3965.86916832	2195.29056463	0.0004	26790.0	0.0765	0.0534	20767.5872718
1063	2014	AL	3035.97176684	1368.0	2528.38639087	7392	3965.86916832	2195.29056463	0.0004	9045.0	0.0765	0.0534	23154.7808718
1065	2014	AL	3035.97176684	1368.0	2528.38639087	7392	3965.86916832	2195.29056463	0.0004	15760.0	0.0765	0.0534	23154.7808718
1067	2014	AL	3035.97176684	1368.0	2528.38639087	5280	3965.86916832	2195.29056463	0.0004	17302.0	0.0765	0.0534	20767.5872718
1069	2014	AL	3035.97176684	1368.0	2528.38639087	5280	3965.86916832	2195.29056463	0.0004	101547.0	0.0765	0.0534	20767.5872718
1071	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	53227.0	0.0765	0.0534	21269.4404718
1073	2014	AL	3035.97176684	1368.0	2528.38639087	7524	3965.86916832	2195.29056463	0.0004	658466.0	0.0765	0.0534	23303.9804718
1075	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	14564.0	0.0765	0.0534	21269.4404718
1077	2014	AL	3035.97176684	1368.0	2528.38639087	5976	3965.86916832	2195.29056463	0.0004	92709.0	0.0765	0.0534	21554.2760718
1079	2014	AL	3035.97176684	1368.0	2528.38639087	6024	3965.86916832	2195.29056463	0.0004	34339.0	0.0765	0.0534	21608.5304718
1081	2014	AL	3035.97176684	1368.0	2528.38639087	6420	3965.86916832	2195.29056463	0.0004	140247.0	0.0765	0.0534	22056.1292718
1083	2014	AL	3035.97176684	1368.0	2528.38639087	6708	3965.86916832	2195.29056463	0.0004	82782.0	0.0765	0.0534	22381.6556718
1085	2014	AL	3035.97176684	1368.0	2528.38639087	7164	3965.86916832	2195.29056463	0.0004	11299.0	0.0765	0.0534	22897.0724718
1087	2014	AL	3035.97176684	1368.0	2528.38639087	5016	3965.86916832	2195.29056463	0.0004	21452.0	0.0765	0.0534	20469.1880718
1089	2014	AL	3035.97176684	1368.0	2528.38639087	6708	3965.86916832	2195.29056463	0.0004	334811.0	0.0765	0.0534	22381.6556718
1091	2014	AL	3035.97176684	1368.0	2528.38639087	5412	3965.86916832	2195.29056463	0.0004	21027.0	0.0765	0.0534	20916.7868718
1093	2014	AL	3035.97176684	1368.0	2528.38639087	5568	3965.86916832	2195.29056463	0.0004	30776.0	0.0765	0.0534	21093.1136718
1095	2014	AL	3035.97176684	1368.0	2528.38639087	5124	3965.86916832	2195.29056463	0.0004	93019.0	0.0765	0.0534	20591.2604718
1097	2014	AL	3035.97176684	1368.0	2528.38639087	7788	3965.86916832	2195.29056463	0.0004	412992.0	0.0765	0.0534	23602.3796718
1099	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	23068.0	0.0765	0.0534	21269.4404718
1101	2014	AL	3035.97176684	1368.0	2528.38639087	7164	3965.86916832	2195.29056463	0.0004	229363.0	0.0765	0.0534	22897.0724718
1103	2014	AL	3035.97176684	1368.0	2528.38639087	6024	3965.86916832	2195.29056463	0.0004	119490.0	0.0765	0.0534	21608.5304718
1105	2014	AL	3035.97176684	1368.0	2528.38639087	5232	3965.86916832	2195.29056463	0.0004	10591.0	0.0765	0.0534	20713.3328718
1107	2014	AL	3035.97176684	1368.0	2528.38639087	5016	3965.86916832	2195.29056463	0.0004	19746.0	0.0765	0.0534	20469.1880718
1109	2014	AL	3035.97176684	1368.0	2528.38639087	5724	3965.86916832	2195.29056463	0.0004	32899.0	0.0765	0.0534	21269.4404718
1111	2014	AL	3035.97176684	1368.0	2528.38639087	5808	3965.86916832	2195.29056463	0.0004	22913.0	0.0765	0.0534	21364.3856718
1113	2014	AL	3035.97176684	1368.0	2528.38639087	7140	3965.86916832	2195.29056463	0.0004	52947.0	0.0765	0.0534	22869.9452718
