,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AL,2.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
AK,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AZ,2.870,3.200,3.200,3.200,3.200,3.200,3.040,2.880,2.880,2.880,2.880,2.880,2.880,2.880
AR,1.000,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500
CA,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.250,2.250,2.000,2.000,2.000,2.000
CO,4.630,4.630,4.630,4.630,4.630,4.630,4.630,4.630,4.630,4.630,4.630,4.630,4.630,4.630
CT,3.000,4.500,4.500,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
DE,0.000,2.200,2.200,2.200,2.200,2.200,2.200,2.200,2.200,2.200,2.200,2.200,2.200,2.200
FL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GA,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
HI,1.600,3.700,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200
ID,1.900,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600
IL,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,5.000,5.000,5.000,5.000
IN,3.400,3.400,3.400,3.400,3.400,3.400,3.400,3.400,3.400,3.400,3.400,3.400,3.400,3.400
IA,0.360,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720,0.720
KS,3.500,6.250,6.250,6.250,6.250,6.250,6.250,6.250,6.250,6.250,6.250,6.250,4.900,4.800
KY,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
LA,2.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
MA,2.000,4.500,4.500,4.500,4.500,4.500,4.500,4.500,4.500,6.500,4.500,4.500,6.500,6.500
MD,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
ME,5.850,5.600,5.600,5.300,5.300,5.300,5.300,5.300,5.300,5.300,5.300,5.250,5.250,5.250
MI,4.200,4.200,4.100,4.000,3.900,3.900,3.900,4.350,4.350,4.350,4.350,4.350,4.250,4.250
MN,5.350,7.050,7.050,7.050,7.050,7.050,7.050,7.050,7.050,7.050,7.050,7.050,7.050,7.050
MO,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
MS,1.500,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
MT,2.000,3.000,3.000,3.000,3.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000
NE,2.510,3.490,3.490,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.570,3.510,3.510
NV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NH,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
NJ,1.400,1.750,1.750,1.750,1.750,1.750,1.750,1.750,1.750,1.750,1.750,1.750,1.750,1.750
NM,1.700,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200,3.200
NY,4.000,4.500,4.500,4.500,4.500,4.500,4.500,4.500,4.500,4.500,4.500,4.500,4.500,4.500
NC,6.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,5.800
ND,2.100,2.100,2.100,2.100,2.100,2.100,2.100,2.100,1.840,1.840,1.840,1.510,1.510,1.220
OH,0.691,1.486,1.486,1.486,1.486,1.424,1.361,1.299,1.174,1.174,1.174,1.174,1.174,1.070
OK,0.500,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
OR,5.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000
PA,2.800,2.800,2.800,3.070,3.070,3.070,3.070,3.070,3.070,3.070,3.070,3.070,3.070,3.070
RI,3.825,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750,3.750
SC,2.500,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
SD,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TN,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000
TX,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
UT,2.300,3.300,3.300,3.300,3.300,3.300,3.300,5.000,5.000,5.000,5.000,5.000,5.000,5.000
VT,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.600,3.550,3.550,3.550,3.550,3.550,3.550
VA,2.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
WA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
WV,3.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000
WI,4.730,6.150,6.150,6.150,6.150,6.150,6.150,6.150,6.150,6.150,6.150,6.150,6.150,5.840
WY,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DC,6.000,7.500,7.000,7.500,7.500,7.500,7.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000
